Catalog OID,Catalog Name,School/College Code,School/College Name,Department Code,Department Name,Entity Type,Entity OID,Entity Name,Course OID,Course Type,Prefix,Code,Name,Credits:,When Offered:,Frequency:,Description,Description (Rendered),Description (Rendered no HTML),Lecture/Laboratory/Field Trip,Prerequisite(s):,Prerequisite(s): (Rendered),Prerequisite(s): (Rendered no HTML),Corequisite(s):,Corequisite(s): (Rendered),Corequisite(s): (Rendered no HTML),Materials Fee,Not Offered,Course Tags:,Workday Ref ID,Is Active,Creation Date,Last Modified,Program Usage,Program OIDs,Location OIDs,Location Names,Location Descriptions,Location Integration IDs,Location Street Addresses,Location Display Statuses
25,2026-2027 DRAFT Catalog,,School of Business,,,S,1716,School of Business,55800,Accounting (Undergraduate),ACCT,203,Managerial Accounting,(4),"FA, SP",.,"<p>The course provides an introduction to managerial accounting concepts, budgeting, incremental cost and profit analysis, breakeven analysis, responsibility reporting, and the use of financial analysis for managerial decision-making.�May not be taken concurrently with [[permalink=194|tooltip:{'title':1}]]%prefix% %code%[[/permalink]].�</p>","<p>The course provides an introduction to managerial accounting concepts, budgeting, incremental cost and profit analysis, breakeven analysis, responsibility reporting, and the use of financial analysis for managerial decision-making.�May not be taken concurrently with ACCT 204.�</p>","The course provides an introduction to managerial accounting concepts, budgeting, incremental cost and profit analysis, breakeven analysis, responsibility reporting, and the use of financial analysis for managerial decision-making.�May not be taken concurrently with ACCT 204.� ",,"<p>sophomore or higher standing, or permission of instructor.</p>","<p>sophomore or higher standing, or permission of instructor.</p>","sophomore or higher standing, or permission of instructor. ",,,,,,,2095,1,2025-07-21 12:10:41,2025-07-21 12:10:41,"Accounting Minor,Business Minor,Entrepreneurship, BA,Kinesiology Major: Sport Management Emphasis, BA,Operations and Supply Chain Management Minor,Accounting, BSA,Business Analytics, BS,Finance, BS,Financial Planning, BS,Human Resource Management, BA,Marketing: Analytics and Research Concentration, BA,Marketing: Marketing Management Concentration, BA,Marketing: Professional Selling Concentration, BA,Operations and Supply Chain Management, BS","13595, 13593, 13805, 13673, 13732, 13594, 13806, 13727, 13747, 13728, 13729, 13731, 13730, 13773",,,,,,
25,2026-2027 DRAFT Catalog,,School of Business,,,S,1716,School of Business,55801,Accounting (Undergraduate),ACCT,204,Financial Accounting,(4),"FA, SP",.,"<p>After considering the importance of generally accepted accounting principles and the study of the accounting cycle, the course emphasizes asset valuation, classification, and measurement of liabilities, and income determination. This course may be taken before, but not�concurrently with,�[[permalink=149|tooltip:{'title':1}]]%prefix% %code%[[/permalink]].�</p>","<p>After considering the importance of generally accepted accounting principles and the study of the accounting cycle, the course emphasizes asset valuation, classification, and measurement of liabilities, and income determination. This course may be taken before, but not�concurrently with,�ACCT 203.�</p>","After considering the importance of generally accepted accounting principles and the study of the accounting cycle, the course emphasizes asset valuation, classification, and measurement of liabilities, and income determination. This course may be taken before, but not�concurrently with,�ACCT 203.� ",,<p>[[permalink=1070|tooltip:{'title':1}]]%prefix% %code%[[/permalink]].</p>,<p>DATA 102.</p>,DATA 102.,,,,,,,2096,1,2025-07-21 12:10:41,2025-07-21 12:10:41,"Accounting Minor,Actuarial Science, BA,Business Minor,Entrepreneurship, BA,Kinesiology Major: Sport Management Emphasis, BA,Accounting, BSA,Business Analytics, BS,Finance, BS,Financial Planning, BS,Human Resource Management, BA,Marketing: Analytics and Research Concentration, BA,Marketing: Marketing Management Concentration, BA,Marketing: Professional Selling Concentration, BA,Operations and Supply Chain Management, BS","13595, 13666, 13593, 13805, 13673, 13594, 13806, 13727, 13747, 13728, 13729, 13731, 13730, 13773",,,,,,
25,2026-2027 DRAFT Catalog,,School of Business,,,S,1716,School of Business,55802,Accounting (Undergraduate),ACCT,301,Intermediate Accounting I,(4),FA,.,<p>A study of financial accounting theory and generally accepted accounting principles as applied to the measurement and valuation of assets and liabilities.</p>,<p>A study of financial accounting theory and generally accepted accounting principles as applied to the measurement and valuation of assets and liabilities.</p>,A study of financial accounting theory and generally accepted accounting principles as applied to the measurement and valuation of assets and liabilities.,,"<p>a grade of at least a C in�<a href=""https://catalog.calvin.edu/preview_entity.php?catoid=22&amp;ent_oid=1556&amp;returnto=711#tt4340"" style=""color:#467886;text-decoration:underline;"">ACCT 203</a> (may be taken concurrently with permission of instructor)�and�<a href=""https://catalog.calvin.edu/preview_entity.php?catoid=22&amp;ent_oid=1556&amp;returnto=711#tt9208"" style=""color:#467886;text-decoration:underline;"">ACCT 204</a>.</p>","<p>a grade of at least a C in�<a href=""https://catalog.calvin.edu/preview_entity.php?catoid=22&amp;ent_oid=1556&amp;returnto=711#tt4340"" style=""color:#467886;text-decoration:underline;"">ACCT 203</a> (may be taken concurrently with permission of instructor)�and�<a href=""https://catalog.calvin.edu/preview_entity.php?catoid=22&amp;ent_oid=1556&amp;returnto=711#tt9208"" style=""color:#467886;text-decoration:underline;"">ACCT 204</a>.</p>",a grade of at least a C in�ACCT 203  (may be taken concurrently with permission of instructor)�and�ACCT 204 .,,,,,,,2098,1,2025-07-21 12:10:41,2025-07-21 12:10:41,"Accounting Minor,Accounting, BSA","13595, 13594",,,,,,
25,2026-2027 DRAFT Catalog,,School of Business,,,S,1716,School of Business,55803,Accounting (Undergraduate),ACCT,302,Intermediate Accounting II,(4),SP,.,"<p>Continuation of Intermediate Accounting I.�A study of financial accounting theory and generally accepted accounting principles as applied to the measurement and valuation assets, liabilities, shareholders' equity, issues related to income determination, and preparation and analysis of corporate financial statements.</p>","<p>Continuation of Intermediate Accounting I.�A study of financial accounting theory and generally accepted accounting principles as applied to the measurement and valuation assets, liabilities, shareholders' equity, issues related to income determination, and preparation and analysis of corporate financial statements.</p>","Continuation of Intermediate Accounting I.�A study of financial accounting theory and generally accepted accounting principles as applied to the measurement and valuation assets, liabilities, shareholders' equity, issues related to income determination, and preparation and analysis of corporate financial statements. ",,<p>a grade of at least a C in [[permalink=377|tooltip:{'title':1}]]%prefix% %code%[[/permalink]]�or permission of instructor.</p>,<p>a grade of at least a C in ACCT 301�or permission of instructor.</p>,a grade of at least a C in ACCT 301�or permission of instructor.,,,,,,,2099,1,2025-07-21 12:10:41,2025-07-21 12:10:41,"Accounting Minor,Accounting, BSA","13595, 13594",,,,,,
25,2026-2027 DRAFT Catalog,,School of Business,,,S,1716,School of Business,55804,Accounting (Undergraduate),ACCT,305,Cost Accounting,(4),"FA, SP",.,"<p>A continuation of costing systems and methods. Special emphasis is given to cost concepts, classification and measurement techniques in production planning and control under job order and process.</p>","<p>A continuation of costing systems and methods. Special emphasis is given to cost concepts, classification and measurement techniques in production planning and control under job order and process.</p>","A continuation of costing systems and methods. Special emphasis is given to cost concepts, classification and measurement techniques in production planning and control under job order and process. ",,<p>a grade of at least a C in�[[permalink=149|tooltip:{'title':1}]]%prefix% %code%[[/permalink]]�and�[[permalink=194|tooltip:{'title':1}]]%prefix% %code%[[/permalink]].</p>,<p>a grade of at least a C in�ACCT 203�and�ACCT 204.</p>,a grade of at least a C in�ACCT 203�and�ACCT 204.,,,,,,,2100,1,2025-07-21 12:10:41,2025-07-21 12:10:41,"Accounting Minor,Accounting, BSA,Operations and Supply Chain Management, BS","13595, 13594, 13773",,,,,,
25,2026-2027 DRAFT Catalog,,School of Business,,,S,1716,School of Business,55805,Accounting (Undergraduate),ACCT,306,Income Tax,(4),FA,.,"<p>A study of federal income tax law to provide a basis for an understanding and evaluation of that law. Examines the implications of income taxation for economic decision-making. Emphasis on taxation of individuals, with coverage of corporations, partnerships, estates, and trusts as they relate to individuals.</p>","<p>A study of federal income tax law to provide a basis for an understanding and evaluation of that law. Examines the implications of income taxation for economic decision-making. Emphasis on taxation of individuals, with coverage of corporations, partnerships, estates, and trusts as they relate to individuals.</p>","A study of federal income tax law to provide a basis for an understanding and evaluation of that law. Examines the implications of income taxation for economic decision-making. Emphasis on taxation of individuals, with coverage of corporations, partnerships, estates, and trusts as they relate to individuals. ",,<p>a grade of at least a C in [[permalink=149|tooltip:{'title':1}]]%prefix% %code%[[/permalink]]�and�[[permalink=194|tooltip:{'title':1}]]%prefix% %code%[[/permalink]].</p>,<p>a grade of at least a C in ACCT 203�and�ACCT 204.</p>,a grade of at least a C in ACCT 203�and�ACCT 204.,,,,,,,2101,1,2025-07-21 12:10:41,2025-07-21 12:10:41,"Accounting Minor,Accounting, BSA,Finance, BS,Financial Planning, BS","13595, 13594, 13727, 13747",,,,,,
25,2026-2027 DRAFT Catalog,,School of Business,,,S,1716,School of Business,55806,Accounting (Undergraduate),ACCT,315,Accounting Information Systems,(4),SP,.,"<p>A study of accounting systems, which provides information for decision-making. The course examines business structures, information needed for decision-making, internal controls in manual and computerized systems, systems development, systems controls, and ethical aspects of the computer environment.</p>","<p>A study of accounting systems, which provides information for decision-making. The course examines business structures, information needed for decision-making, internal controls in manual and computerized systems, systems development, systems controls, and ethical aspects of the computer environment.</p>","A study of accounting systems, which provides information for decision-making. The course examines business structures, information needed for decision-making, internal controls in manual and computerized systems, systems development, systems controls, and ethical aspects of the computer environment. ",,<p>a grade of at least a C in�[[permalink=149|tooltip:{'title':1}]]%prefix% %code%[[/permalink]]�and [[permalink=194|tooltip:{'title':1}]]%prefix% %code%[[/permalink]].</p>,<p>a grade of at least a C in�ACCT 203�and ACCT 204.</p>,a grade of at least a C in�ACCT 203�and ACCT 204.,,,,,,,2106,1,2025-07-21 12:10:41,2025-07-21 12:10:41,"Accounting Minor,Accounting, BSA,Data Science Major, BS","13595, 13594, 13644",,,,,,
25,2026-2027 DRAFT Catalog,,Calvin University,,Student Success,T,1682,Student Success,55807,Student Success,ASC,105,Foundational Mathematics,(2),"FA, SP",.,<p>This course introduces students to learning theories and practices used to be successful as college learners. Students will regularly apply theories and practices to an identified paired course to aid student learning. Many of the strategies learned will have application across content areas. Concurrent registration in the paired course is required; scheduling must be arranged through the Center for Student Success.</p>,<p>This course introduces students to learning theories and practices used to be successful as college learners. Students will regularly apply theories and practices to an identified paired course to aid student learning. Many of the strategies learned will have application across content areas. Concurrent registration in the paired course is required; scheduling must be arranged through the Center for Student Success.</p>,This course introduces students to learning theories and practices used to be successful as college learners. Students will regularly apply theories and practices to an identified paired course to aid student learning. Many of the strategies learned will have application across content areas. Concurrent registration in the paired course is required; scheduling must be arranged through the Center for Student Success.,,<p>a Core course.</p>,<p>a Core course.</p>,a Core course.,,,,,,,2277,1,2025-07-21 12:10:41,2025-07-21 12:10:41,,,,,,,,
25,2026-2027 DRAFT Catalog,,Calvin University,,Student Success,T,1682,Student Success,55808,Student Success,ASC,111,Academic Transitions,(2),"FA, SP",.,"<p>This course introduces students to select strategies, theories, and approaches to college learning. Students will understand and apply the concepts of motivation and behavior to learning. Course content is applicable across all academic disciplines.</p>","<p>This course introduces students to select strategies, theories, and approaches to college learning. Students will understand and apply the concepts of motivation and behavior to learning. Course content is applicable across all academic disciplines.</p>","This course introduces students to select strategies, theories, and approaches to college learning. Students will understand and apply the concepts of motivation and behavior to learning. Course content is applicable across all academic disciplines. ",,,,,,,,,,,1289,1,2025-07-21 12:10:41,2025-07-21 12:10:41,"Comprehensive Postsecondary Education, Certificate: Arts and Music Concentration,Comprehensive Postsecondary Education, Certificate: Communication and Commerce Concentration,Comprehensive Postsecondary Education, Certificate: Creation Care Concentration,Comprehensive Postsecondary Education, Certificate: Education Concentration,Comprehensive Postsecondary Education, Certificate: Health, Wellness, and Recreation Concentration,Comprehensive Postsecondary Education, Certificate: Interdisciplinary Concentration,Comprehensive Postsecondary Education, Certificate: Ministry and Human Services Concentration,Faith and Community Leadership Major, AA,Liberal Arts and Sciences, Certificate,Life and Career Studies, Certificate","13766, 13767, 13768, 13769, 13770, 13771, 13772, 13724, 13802, 13765",,,,,,
25,2026-2027 DRAFT Catalog,,"School of Humanities, Arts, and Social Sciences",,Visual and Performing Arts,T,1713,Visual and Performing Arts,55809,Art,ART,153,Visual Culture,(2),"FA, SP",.,"<p>This course focuses on how meaning is made through our visual environment. Students study a wide range of visual forms from contexts including architecture, art history, popular culture and advertising, in order to gain a better understanding of how our contemporary experiences and identities are informed and shaped by images. This course will introduce students to visual images and critically examine their various uses in contemporary culture. Class time is a combination of image analysis, image production, lectures, screenings, field trips, and student presentations. Intended for first- and second-year students.</p>","<p>This course focuses on how meaning is made through our visual environment. Students study a wide range of visual forms from contexts including architecture, art history, popular culture and advertising, in order to gain a better understanding of how our contemporary experiences and identities are informed and shaped by images. This course will introduce students to visual images and critically examine their various uses in contemporary culture. Class time is a combination of image analysis, image production, lectures, screenings, field trips, and student presentations. Intended for first- and second-year students.</p>","This course focuses on how meaning is made through our visual environment. Students study a wide range of visual forms from contexts including architecture, art history, popular culture and advertising, in order to gain a better understanding of how our contemporary experiences and identities are informed and shaped by images. This course will introduce students to visual images and critically examine their various uses in contemporary culture. Class time is a combination of image analysis, image production, lectures, screenings, field trips, and student presentations. Intended for first- and second-year students. ",,,,,,,,Course fee: $50.,,,414,1,2025-07-21 12:10:41,2025-07-21 12:10:41,"Art Education PK-12 Major,Art, BFA,Comprehensive Postsecondary Education, Certificate: Arts and Music Concentration,Comprehensive Postsecondary Education, Certificate: Interdisciplinary Concentration,Core Program,Life and Career Studies, Certificate,Studio Art Minor,Studio Art, BA,The Core Requirements,The Core Curriculum - Accounting,The Core Curriculum - Bachelor of Computer Science,The Core Curriculum - Financial Planning (BS),The Core Curriculum - Fine Arts,The Core Curriculum - Nursing,The Core Curriculum - Recreation,The Core Curriculum - Secondary Education,The Core Curriculum - Social Work,The Core Curriculum - Speech Pathology & Audiology","13793, 13581, 13766, 13771, 13706, 13765, 13584, 13582, 13585, 13707, 13742, 13753, 13711, 13712, 13713, 13709, 13714, 13715",,,,,,
