program_name,categories,sections,subsections,course_code,course_name,course_oid,credits,min_categories_credits,section_credit_min,section_credit_max
Core Program,FOUNDATIONS,Community and Commitments,,CORE 100,CORE 100 - Community and Commitments,56814,2,8,,
Core Program,FOUNDATIONS,Community and Commitments,,HNRS 110,HNRS 110 - Honors Community and Commitments,57138,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity I,,REL 121,REL 121 - Biblical Literature and Theology,56420,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity I,,REL 131,REL 131 - Christian Theology,56421,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity I,,HNRS 103,HNRS 103 - Foundations in Biblical Literature and Theology,56851,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,ENGL 250,ENGL 250 - Literature of Faith,56858,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,HIST 263,"HIST 263 - Medieval and Renaissance Europe, 1000-1500",56168,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,HIST 264,HIST 264 - The Reformation in Historical Context (1500-1700),56169,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,HNRS 203,HNRS 203 - Intermediate Studies in Biblical Literature and Theology,56852,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,PHIL 224,PHIL 224 - Glittering Vices: The Capital Vices and Christian Character,57031,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,PHIL 234,PHIL 234 - Augustine's Confessions: A Map of the Heart,57030,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,PHIL 251,PHIL 251 - Legacies of Thought: Ancient Philosophy and Medieval Christianity,56324,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,PHIL 252,PHIL 252 - The Christian Foundations of Modernity,56325,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,PHIL 293,"PHIL 293 - God, Freedom, and Evil",56738,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,POLS 306,"POLS 306 - God, Humanity, and the State",56369,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 211,REL 211 - From Creation to Promised Land,56422,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 212,REL 212 - From Conquest to Exile,56423,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 213,REL 213 - Psalms and Wisdom Literature,56424,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 214,REL 214 - Prophets,56425,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 221,REL 221 - Jesus in the Gospels and Acts,56426,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 222,REL 222 - The Gospel and Letters of John,56427,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 223,REL 223 - Paul's Letters,56428,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 224,REL 224 - Revelation and General Letters,56429,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 230,REL 230 - Revelation and Knowledge of God,56430,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 231,REL 231 - The Triune God,56431,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 232,REL 232 - Creation and Humanity,56432,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 233,REL 233 - Christ and Reconciliation,56433,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 234,REL 234 - Holy Spirit and Church,56434,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 235,REL 235 - The Christian Hope,56435,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 237,REL 237 - Christian Worship,56436,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 243,REL 243 - Theology: From the Early Church through the Middle Ages,56437,4,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 244,REL 244 - Theology: From the Reformation to the Present,56438,2,8,,
Core Program,FOUNDATIONS,Foundations of Christianity II,,REL 251,REL 251 - Christianity and Religious Plurality,56439,4,8,,
Core Program,COMPETENCIES AND SKILLS,Foundational Writing,,ENGL 101,ENGL 101 - Written Rhetoric,56027,4,10,,
Core Program,COMPETENCIES AND SKILLS,Foundational Writing,Or,ENGL 100,ENGL 100 - Enhanced Written Rhetoric I,56026,2,10,,
Core Program,COMPETENCIES AND SKILLS,Foundational Writing,Or,ENGL 102,ENGL 102 - Enhanced Written Rhetoric II,56028,4,10,,
Core Program,COMPETENCIES AND SKILLS,Health and Movement (Personal Fitness),,PER 101,PER 101 - Jogging and Road Racing,56291,1,10,,
Core Program,COMPETENCIES AND SKILLS,Health and Movement (Personal Fitness),,PER 102,PER 102 - Nordic Walking,56292,1,10,,
Core Program,COMPETENCIES AND SKILLS,Health and Movement (Personal Fitness),,PER 103,PER 103 - Cycling,56293,1,10,,
Core Program,COMPETENCIES AND SKILLS,Health and Movement (Personal Fitness),,PER 104,PER 104 - Core Strength Training and Balance,56294,1,10,,
Core Program,COMPETENCIES AND SKILLS,Health and Movement (Personal Fitness),,PER 106,PER 106 - Cardio Cross Training,56295,1,10,,
Core Program,COMPETENCIES AND SKILLS,Health and Movement (Personal Fitness),,PER 107,PER 107 - Strength and Conditioning,56296,1,10,,
Core Program,COMPETENCIES AND SKILLS,Health and Movement (Personal Fitness),,PER 108,PER 108 - Aquatic Fitness,56297,1,10,,
Core Program,COMPETENCIES AND SKILLS,Health and Movement (Personal Fitness),,PER 112,PER 112 - Special Topics in Personal Fitness,56298,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,KIN 223,"KIN 223 - Educational Health, Movement, and Dance",56214,2,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 124,PER 124 - Swim,56299,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 130,PER 130 - Women's Self Defense,56300,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 132,PER 132 - Golf Level I,56301,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 133,PER 133 - Golf Level II,56302,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 137,PER 137 - Bowling,56303,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 138,PER 138 - Backpacking I,56605,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 140,PER 140 - Special Topics: Lifetime and Leisure,56622,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 141,PER 141 - Rock Climbing I,56304,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 142,PER 142 - Rock Climbing II,56305,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 143,PER 143 - Paddling,56306,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 144,PER 144 - Frisbee,56307,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 173,PER 173 - Basketball,56308,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 174,PER 174 - Volleyball Level I,56309,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 175,PER 175 - Volleyball Level II,56310,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 177,PER 177 - Slow Pitch Softball,56311,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 180,PER 180 - Badminton Level I,56312,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 181,PER 181 - Badminton Level II,56313,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 182,PER 182 - Tennis Level I,56314,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 183,PER 183 - Tennis Level II,56315,1,10,,
Core Program,COMPETENCIES AND SKILLS,"Health and Movement (Leisure, Sport, and Skills)",,PER 185,PER 185 - Soccer,56316,1,10,,
Core Program,COMPETENCIES AND SKILLS,World Languages I,,CHIN 102,CHIN 102 - Elementary Chinese II,55946,4,10,,
Core Program,COMPETENCIES AND SKILLS,World Languages I,,DUTC 102,DUTC 102 - Elementary Dutch II,55986,4,10,,
Core Program,COMPETENCIES AND SKILLS,World Languages I,,FREN 102,FREN 102 - Elementary French II,56093,4,10,,
Core Program,COMPETENCIES AND SKILLS,World Languages I,,FREN 150,FREN 150 - Accelerated Elementary French,56792,4,10,,
Core Program,COMPETENCIES AND SKILLS,World Languages I,,GERM 102,GERM 102 - Elementary German II,56786,4,10,,
Core Program,COMPETENCIES AND SKILLS,World Languages I,,KOR 102,KOR 102 - Elementary Korean II,56230,4,10,,
Core Program,COMPETENCIES AND SKILLS,World Languages I,,LATN 102,LATN 102 - Elementary Latin II,56234,4,10,,
Core Program,COMPETENCIES AND SKILLS,World Languages I,,SPAN 102,SPAN 102 - Elementary Spanish II,56492,4,10,,
Core Program,COMPETENCIES AND SKILLS,World Languages I,,SPAN 150,SPAN 150 - Accelerated Elementary Spanish,56791,4,10,,
Core Program,KNOWLEDGE AND UNDERSTANDING,World Languages II,,CHIN 201,CHIN 201 - Intermediate Chinese I,55947,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,World Languages II,,CHIN 202,CHIN 202 - Intermediate Chinese II,55948,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,World Languages II,,DUTC 201,DUTC 201 - Intermediate Dutch I,55987,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,World Languages II,,DUTC 202,DUTC 202 - Intermediate Dutch II,55988,2,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,World Languages II,,FREN 201,FREN 201 - Intermediate French I,56095,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,World Languages II,,FREN 202,FREN 202 - Intermediate French II,56096,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,World Languages II,,FREN 301,FREN 301 - Advanced French I: Sustainability in France,56097,4,26,0.0,4.0
Core Program,KNOWLEDGE AND UNDERSTANDING,World Languages II,,GERM 201,GERM 201 - Intermediate German I,56143,4,26,0.0,4.0
